,Date,Price,Open,High,Low,Vol.
906,3/23/2021,1667.9,1681.5,1720.01,1654.14,1460
905,3/24/2021,1582.38,1668.42,1739.82,1546.48,1880
904,3/25/2021,1586.54,1582.23,1621.32,1550.11,1540
903,3/26/2021,1698.6,1586.36,1699.27,1586.28,1640
902,3/27/2021,1713.01,1698.68,1731.73,1667.12,1400
901,3/28/2021,1686.8,1712.89,1724.74,1661.92,1310
900,3/29/2021,1816.69,1686.88,1839.41,1678.38,1940
899,3/30/2021,1841.01,1816.92,1857.65,1788.6,3030
898,3/31/2021,1917.99,1841.01,1945.4,1774.66,2590
897,4/1/2021,1967.96,1918.82,1983.84,1897.38,2080
896,4/2/2021,2134.55,1968.12,2144.11,1949.99,2470
895,4/3/2021,2008.59,2134.66,2137.68,2004.4,2010
894,4/4/2021,2075.94,2007.82,2091.31,1982,1590
893,4/5/2021,2106.41,2076.14,2127.89,2004.05,2310
892,4/6/2021,2111.53,2108.81,2150.78,2047.48,1930
891,4/7/2021,1961.46,2112.41,2128.25,1939.64,2300
890,4/8/2021,2079.92,1962.44,2084.08,1951.83,1730
889,4/9/2021,2066.93,2080.2,2101.07,2050.39,2470
888,4/10/2021,2133.79,2067.26,2197.73,2058.23,2090
887,4/11/2021,2151.42,2133.89,2164.76,2114.55,1970
886,4/12/2021,2137.81,2150.79,2199.52,2103.73,2160
885,4/13/2021,2299.93,2137.55,2315.47,2136.49,2380
884,4/14/2021,2431.56,2299.25,2445.4,2281.49,2110
883,4/15/2021,2514.22,2432.9,2541.9,2402.75,1910
882,4/16/2021,2423.18,2514.55,2544.54,2302.3,2080
881,4/17/2021,2318.33,2424.12,2493.93,2314.12,1730
880,4/18/2021,2237.17,2317.88,2338.53,1948.93,2760
879,4/19/2021,2160.63,2236.1,2275.87,2081.3,1900
878,4/20/2021,2332.14,2161.06,2345.18,2058,1860
877,4/21/2021,2360.81,2331.84,2467.51,2238.15,2100
876,4/22/2021,2401.1,2360.32,2642.99,2313.46,3170
875,4/23/2021,2367.31,2398.95,2440.21,2119.26,3460
874,4/24/2021,2215.93,2367.35,2367.46,2159.6,1610
873,4/25/2021,2316.48,2217.23,2355.2,2169.91,1020
872,4/26/2021,2533.12,2320.63,2539.8,2305.97,1790
871,4/27/2021,2665.24,2531.07,2677.95,2484.44,1450
870,4/28/2021,2746.54,2665.83,2759.03,2562.74,1740
869,4/29/2021,2757.36,2746.51,2797.52,2670.35,1650
868,4/30/2021,2772.78,2757.02,2797.61,2726.03,1520
867,5/1/2021,2944.66,2772.27,2951.74,2753.6,1510
866,5/2/2021,2950.33,2945.04,2984.52,2854.12,1300
865,5/3/2021,3429.37,2950.07,3451.44,2950.07,2320
864,5/4/2021,3286.71,3429.48,3516.34,3188.9,2740
863,5/5/2021,3522.76,3284.31,3540.78,3228.86,1870
862,5/6/2021,3489.52,3522.74,3601.59,3380.6,1510
861,5/7/2021,3481.22,3490.83,3583.34,3363.56,1350
860,5/8/2021,3905.55,3479.81,3952.88,3453.37,1340
859,5/9/2021,3922.23,3905.69,3979.77,3734.44,1940
858,5/10/2021,3947.9,3923.48,4203.98,3669.84,2700
857,5/11/2021,4167.78,3948.66,4177.53,3781.86,1270
856,5/12/2021,3811.77,4173.61,4366.1,3794.15,2780
855,5/13/2021,3719.62,3807.5,4031.99,3539.96,3210
854,5/14/2021,4075.38,3719.46,4171.76,3694.54,2060
853,5/15/2021,3641.65,4074.57,4129.99,3639.12,1940
852,5/16/2021,3582.12,3643.67,3877.2,3351.92,2280
851,5/17/2021,3279.68,3582.19,3582.27,3130.12,2850
850,5/18/2021,3377.55,3280.5,3558.57,3244.93,2300
849,5/19/2021,2435.69,3376.22,3434.01,1922.25,6420
848,5/20/2021,2777.55,2436.59,2988.52,2163.4,4330
847,5/21/2021,2433.11,2766.88,2931.66,2111.42,4230
846,5/22/2021,2291.6,2433.09,2481.06,2162.84,2820
845,5/23/2021,2101.34,2292.68,2379.89,1739.91,3520
844,5/24/2021,2646.79,2101.3,2667.2,2080.87,3240
843,5/25/2021,2705.09,2647.27,2747.49,2388.81,3280
842,5/26/2021,2884.66,2705.69,2908.37,2648.1,2660
841,5/27/2021,2735.88,2885.02,2885.87,2638.62,2390
840,5/28/2021,2414.29,2742.39,2760.17,2332.43,3260
839,5/29/2021,2276.07,2411.68,2567.42,2207.21,2940
838,5/30/2021,2386.1,2276.97,2465.84,2181.93,2800
837,5/31/2021,2708.47,2386.93,2713.98,2279.42,2830
836,6/1/2021,2633.67,2707.94,2738.23,2529.73,2450
835,6/2/2021,2706.1,2633.74,2801,2554.88,2600
834,6/3/2021,2853.35,2705.05,2889.19,2666.39,1090
833,6/4/2021,2686.5,2856.63,2856.63,2557.71,2470
832,6/5/2021,2628.98,2688.75,2814.02,2555.98,2550
831,6/6/2021,2713.66,2628.43,2743.53,2614.48,756360
830,6/7/2021,2592.63,2713.52,2842.88,2581.24,3010
829,6/8/2021,2510.65,2592.12,2618.7,2320.64,75180
828,6/9/2021,2606.23,2507.86,2620.74,2408.37,2320
827,6/10/2021,2469.97,2607.45,2615.46,2432.41,1290
826,6/11/2021,2351.45,2470.04,2493.48,2324.21,587180
825,6/12/2021,2368.47,2351.45,2448.04,2260.8,1800
824,6/13/2021,2508.27,2368.68,2547.9,2311.96,1620
823,6/14/2021,2581.48,2508.49,2606.91,2467.61,1790
822,6/15/2021,2543.83,2581.42,2637.9,2512.39,1950
821,6/16/2021,2367.28,2544.35,2552.12,2353.24,1370
820,6/17/2021,2371.62,2367.78,2459.11,2309.08,1060
819,6/18/2021,2229.53,2372.1,2376.62,2142.74,778790
818,6/19/2021,2166.91,2229.53,2276.7,2164.14,1080
817,6/20/2021,2243.86,2166.3,2276.83,2045.03,1420
816,6/21/2021,1891.18,2244.25,2257.86,1868.32,2690
815,6/22/2021,1876.66,1890.95,1994.32,1707.24,2840
814,6/23/2021,1968.39,1877.28,2043.1,1823.57,1770
813,6/24/2021,1989.14,1968.76,2033.96,1886.74,1640
812,6/25/2021,1810.57,1989.77,2017.47,1793.47,1650
811,6/26/2021,1830.62,1810.53,1850.4,1719.32,1990
810,6/27/2021,1979.88,1830.42,1980.7,1808.59,1870
809,6/28/2021,2083.09,1981.24,2142.84,1962.89,2190
808,6/29/2021,2158.71,2083.48,2241.86,2076.17,898060
807,6/30/2021,2273.84,2158.32,2281.55,2090.61,1900
806,7/1/2021,2109.11,2274.5,2274.63,2077.56,1710
805,7/2/2021,2154.78,2108.58,2158.7,2019.75,1390
804,7/3/2021,2224.7,2154.53,2236.97,2115.8,1280
803,7/4/2021,2323.22,2224.7,2386.2,2222.95,1390
802,7/5/2021,2196.16,2322.6,2322.6,2163.09,822950
801,7/6/2021,2322.72,2196.25,2347.47,2194.2,1780
800,7/7/2021,2316.57,2322.74,2402.68,2296.43,1320
799,7/8/2021,2120.22,2316.21,2322.47,2095.92,1820
798,7/9/2021,2145.89,2120.05,2185.62,2066.09,1420
797,7/10/2021,2111.12,2146.15,2191.3,2078.43,929320
796,7/11/2021,2139.35,2110.9,2173.34,2081.62,724840
795,7/12/2021,2035.09,2139.44,2167.6,2008.66,540100
794,7/13/2021,1940.72,2035.09,2042.61,1920.62,717850
793,7/14/2021,1994.64,1940.48,2017.99,1868.45,1050
792,7/15/2021,1917.21,1994.73,2038.91,1884.81,645060
791,7/16/2021,1878.2,1917.21,1960.21,1852.42,619620
790,7/17/2021,1897.98,1877,1917.8,1851.97,623520
789,7/18/2021,1892.42,1898.01,1988.24,1881.6,829770
788,7/19/2021,1818.07,1891.43,1915.15,1807.19,802780
787,7/20/2021,1786.07,1818.07,1840.36,1720.7,1200
786,7/21/2021,1994.49,1786.18,2029.51,1758.64,1510
785,7/22/2021,2024.58,1994.61,2043.26,1952.31,1020
784,7/23/2021,2123.61,2024.51,2129.66,2000.27,961670
783,7/24/2021,2151.85,2124,2162.29,2106.71,907110
782,7/25/2021,2189.79,2166.98,2195.03,2108.74,786940
781,7/26/2021,2229.53,2189.74,2430.01,2174.44,1890
780,7/27/2021,2300.22,2230.24,2318.68,2152.92,1250
779,7/28/2021,2299.11,2300.21,2343.49,2246.23,968940
778,7/29/2021,2380.93,2299.46,2397.71,2269.15,642750
777,7/30/2021,2460.95,2380.59,2467.4,2320.8,1030
776,7/31/2021,2532.19,2461.08,2551.68,2421.7,507080
775,8/1/2021,2556.23,2530.94,2696.38,2515.26,1200
774,8/2/2021,2608.04,2556.07,2664.73,2513.51,970670
773,8/3/2021,2506.65,2608.01,2631.43,2445.49,158450
772,8/4/2021,2725.29,2506.5,2766.46,2462.32,1230
771,8/5/2021,2827.21,2725.28,2842.95,2533.51,1650
770,8/6/2021,2889.43,2827.23,2946.62,2726.04,1060
769,8/7/2021,3158,2889.58,3169.74,2867.58,64840
768,8/8/2021,3012.07,3158.3,3188.49,2949.66,1250
767,8/9/2021,3162.93,3011.88,3184.84,2899.24,1440
766,8/10/2021,3140.71,3162.81,3232.02,3057.84,1120
765,8/11/2021,3163.66,3140.86,3269.7,3122.67,950120
764,8/12/2021,3043.61,3160.17,3236.28,2981.35,965630
763,8/13/2021,3322.43,3043.2,3324.53,3035.52,795540
762,8/14/2021,3264.69,3322.25,3328.38,3209.45,658600
761,8/15/2021,3308.87,3264.56,3318.61,3115.34,782810
760,8/16/2021,3147.65,3307.96,3334.22,3138.37,859090
759,8/17/2021,3014.58,3147.67,3290.03,2993.63,1060
758,8/18/2021,3016.91,3012.62,3124.51,2951.04,750740
757,8/19/2021,3184.82,3016.92,3185.51,2962.04,844130
756,8/20/2021,3284.21,3184.83,3300.36,3179.18,739320
755,8/21/2021,3223.96,3285.12,3307.33,3200.19,768740
754,8/22/2021,3238.7,3224.17,3271.94,3128.98,747650
753,8/23/2021,3319.49,3238.41,3375.42,3231.96,1090
752,8/24/2021,3173.26,3322.6,3357.99,3150.75,988820
751,8/25/2021,3228.15,3172.12,3247.43,3080.7,923130
750,8/26/2021,3093.54,3228.03,3249.62,3057.48,118440
749,8/27/2021,3273.58,3093.78,3279.93,3063.37,839540
748,8/28/2021,3243.9,3273.78,3284.58,3212.24,466210
747,8/29/2021,3222.16,3243.96,3282.21,3155.31,643730
746,8/30/2021,3225.67,3222.43,3345.72,3145.53,966580
745,8/31/2021,3430.74,3228.23,3467.42,3191.34,1520
744,9/1/2021,3832.73,3429.65,3839.91,3384.82,1480
743,9/2/2021,3786.19,3826.9,3833.89,3723.42,928700
742,9/3/2021,3936.29,3785.85,4024.89,3715.97,1200
741,9/4/2021,3884.97,3938.45,3968.33,3844.07,672530
740,9/5/2021,3950.62,3885.4,3981.22,3834.74,714160
739,9/6/2021,3927.21,3950.2,3968.2,3867.55,764560
738,9/7/2021,3423.12,3926.84,3945.79,3061.3,2470
737,9/8/2021,3495.1,3424.35,3557.67,3221.6,780680
736,9/9/2021,3423.51,3498.92,3564.3,3395.94,1090
735,9/10/2021,3207.27,3423.87,3512.9,3156.28,1210
734,9/11/2021,3267.33,3209.37,3345.37,3202.41,732950
733,9/12/2021,3408.28,3267.33,3469.5,3231.87,805970
732,9/13/2021,3284.52,3408.17,3429.24,3118.66,1340
731,9/14/2021,3428.87,3284.65,3428.87,3270.91,720340
730,9/15/2021,3611.9,3430.36,3612.29,3361.63,790270
729,9/16/2021,3569.43,3612.23,3672.68,3488.53,195790
728,9/17/2021,3398.65,3569.92,3592.2,3352.32,748100
727,9/18/2021,3435.97,3398.55,3539.5,3371.33,600190
726,9/19/2021,3329.12,3435.92,3455.67,3282.85,614000
725,9/20/2021,2976.05,3328.49,3344.04,2931.64,1720
724,9/21/2021,2761.52,2976.7,3101.88,2659.71,1790
723,9/22/2021,3077.78,2764.71,3087.97,2740.58,1190
722,9/23/2021,3152.92,3077.8,3173,3035.96,841540
721,9/24/2021,2928.57,3152.92,3158.38,2740.06,1740
720,9/25/2021,2922.55,2928.59,2965.48,2812.7,975490
719,9/26/2021,3063.51,2922.47,3113.65,2740.12,1330
718,9/27/2021,2926.24,3061.86,3163.86,2926.24,865300
717,9/28/2021,2807.28,2926.04,2969.18,2791.42,896280
716,9/29/2021,2851.5,2807.15,2948.5,2784.66,728860
715,9/30/2021,3000.59,2851.06,3047.08,2837.68,968230
714,10/1/2021,3309.13,2999.86,3329.32,2972.75,1140
713,10/2/2021,3388.97,3309.14,3467.95,3265.97,778150
712,10/3/2021,3417.34,3388.83,3485.48,3346.63,642590
711,10/4/2021,3382.9,3417.26,3436.34,3273.22,826830
710,10/5/2021,3517.26,3383.32,3540.83,3365.28,663880
709,10/6/2021,3575.41,3515.35,3627.19,3345.56,1050
708,10/7/2021,3586,3575.43,3650.18,3473.47,826290
707,10/8/2021,3559.42,3586.91,3668.35,3537.24,681740
706,10/9/2021,3574.2,3559.96,3626.11,3541.4,464110
705,10/10/2021,3415.03,3574.52,3599.18,3409.22,767490
704,10/11/2021,3545.06,3414.93,3622.53,3381.43,683240
703,10/12/2021,3489.9,3541.49,3545.35,3404.49,609890
702,10/13/2021,3607.28,3491.08,3612.04,3416,557180
701,10/14/2021,3790.41,3607.36,3820.47,3588.24,697090
700,10/15/2021,3866.9,3790.34,3904.91,3735.21,721140
699,10/16/2021,3827.55,3869.05,3967.43,3804.55,527610
698,10/17/2021,3845.47,3827.55,3917.56,3664.63,543520
697,10/18/2021,3747.6,3848.64,3892.01,3685.82,578210
696,10/19/2021,3876.78,3745.46,3884.34,3733.78,488600
695,10/20/2021,4159.89,3876.76,4168.12,3830.26,752030
694,10/21/2021,4054.16,4160.51,4366.91,4029.48,1140
693,10/22/2021,3970.94,4053.89,4164.11,3896.4,654770
692,10/23/2021,4168.85,3970.94,4169.33,3938.79,487030
691,10/24/2021,4082.8,4168.8,4184,3965.84,507630
690,10/25/2021,4219.92,4082.68,4234.76,4069.94,481410
689,10/26/2021,4129.51,4219.92,4291.98,4098.19,559290
688,10/27/2021,3921.93,4130.06,4299.61,3914.06,1070
687,10/28/2021,4284.9,3921.54,4289.8,3896.33,865800
686,10/29/2021,4413.7,4284.9,4458.3,4268.21,781570
685,10/30/2021,4320.65,4413.7,4428.41,4250.24,494870
684,10/31/2021,4287.56,4322,4393.61,4169.48,555320
683,11/1/2021,4320.85,4287.41,4376.94,4157.51,574260
682,11/2/2021,4586.06,4320.85,4598.38,4287.36,630260
681,11/3/2021,4602.21,4586.96,4661.88,4458.87,634680
680,11/4/2021,4535.11,4601.93,4604.83,4421.87,495860
679,11/5/2021,4475,4534.96,4569.31,4439.67,409750
678,11/6/2021,4517.36,4475,4526.75,4330.29,442600
677,11/7/2021,4612.06,4517.27,4634.39,4502.7,337810
676,11/8/2021,4808.38,4612.05,4822.97,4612.05,673210
675,11/9/2021,4731.83,4808.34,4836.69,4715.43,437410
674,11/10/2021,4634.03,4731.83,4864.06,4498.78,761900
673,11/11/2021,4720.87,4633.98,4778.17,4578.66,418610
672,11/12/2021,4667.31,4720.5,4807.16,4511.96,634590
671,11/13/2021,4644.61,4665.76,4705.02,4585.37,290270
670,11/14/2021,4625.59,4644.4,4692.76,4514.95,340960
669,11/15/2021,4562.98,4625.71,4769.38,4543.47,495960
668,11/16/2021,4208.16,4562.97,4562.97,4115.31,1120
667,11/17/2021,4290.88,4208.29,4298.3,4071.01,664940
666,11/18/2021,4001.87,4290.31,4342.74,3958.44,792380
665,11/19/2021,4295.43,3996.29,4305.41,3978.08,571960
664,11/20/2021,4408.85,4295.27,4434.27,4206.75,462990
663,11/21/2021,4268.08,4409.02,4422.6,4246.2,446230
662,11/22/2021,4086.95,4268.07,4311.46,4026.75,717080
661,11/23/2021,4340.23,4086.73,4384.75,4064.17,684350
660,11/24/2021,4273.54,4340.23,4372.83,4172.19,595960
659,11/25/2021,4520.3,4270.73,4549.74,4248.9,578650
658,11/26/2021,4034.53,4520.3,4548.1,3917.43,1000
657,11/27/2021,4094.8,4037.06,4183.02,4029.06,370730
656,11/28/2021,4296.98,4095.16,4297.63,3980.24,487530
655,11/29/2021,4443.22,4296.98,4456.82,4280.18,532660
654,11/30/2021,4628.9,4443.22,4749.12,4349.21,973460
653,12/1/2021,4583.28,4628.72,4778.14,4525.33,669180
652,12/2/2021,4512.9,4583.28,4629.75,4437.53,608070
651,12/3/2021,4219.3,4512.9,4646.73,4047.07,942770
650,12/4/2021,4123.46,4219.3,4237.56,3533.02,1520
649,12/5/2021,4194.8,4118.27,4247.38,4036,707690
648,12/6/2021,4353.31,4194.95,4373.23,3922.65,993790
647,12/7/2021,4307.08,4351.36,4424.2,4259.45,550780
646,12/8/2021,4435.74,4307.08,4449.69,4229.63,574330
645,12/9/2021,4107.69,4435.74,4482.89,4078.14,642170
644,12/10/2021,3903.48,4107.2,4226.79,3894.03,798120
643,12/11/2021,4075.66,3903.52,4094.92,3836.92,581260
642,12/12/2021,4131.78,4078.17,4173.21,3988.29,360450
641,12/13/2021,3781.94,4131.47,4141.27,3673.19,891670
640,12/14/2021,3861.55,3782.12,3879.43,3690.06,577610
639,12/15/2021,4019.24,3860.51,4090.15,3649.69,821220
638,12/16/2021,3956.62,4019.57,4108.24,3955.46,512120
637,12/17/2021,3878.29,3957.12,3993.87,3702.33,654900
636,12/18/2021,3959.83,3878.2,3993.05,3769.91,475860
635,12/19/2021,3925.34,3959.9,4025.36,3890.9,442490
634,12/20/2021,3938.8,3925.46,3978.66,3757.42,531110
633,12/21/2021,4016.59,3944.03,4058.76,3915.56,496710
632,12/22/2021,3979.54,4016.25,4072.4,3944.15,426430
631,12/23/2021,4110.14,3979.57,4149.17,3895.89,573180
630,12/24/2021,4043.39,4110.2,4133.77,4024.24,353850
629,12/25/2021,4093.14,4043.6,4136.03,4024.87,308530
628,12/26/2021,4061.27,4093.38,4104.23,4005.38,283580
627,12/27/2021,4036.24,4062.02,4125.22,4033.04,313320
626,12/28/2021,3791.69,4036.86,4036.86,3760.86,527230
625,12/29/2021,3627.93,3792.95,3825.97,3607.2,456030
624,12/30/2021,3709.57,3629.33,3767.93,3589.64,355720
623,12/31/2021,3677.85,3709.38,3812.01,3623.74,405650
622,1/1/2022,3765.67,3677.69,3775.2,3675.75,239540
621,1/2/2022,3830.67,3765.67,3851.16,3718.33,242550
620,1/3/2022,3764.24,3830.7,3849.5,3682.48,338510
619,1/4/2022,3789.52,3764.62,3889.07,3715.24,415810
618,1/5/2022,3535.86,3784.47,3846.44,3418.46,582710
617,1/6/2022,3407.77,3536.15,3550.19,3306.14,701890
616,1/7/2022,3195.31,3407.22,3413.26,3077.3,979250
615,1/8/2022,3080.02,3198.14,3244.46,3001.76,566060
614,1/9/2022,3150.3,3079.89,3210.34,3060.47,415870
613,1/10/2022,3085.43,3150.27,3179.96,2931.68,804380
612,1/11/2022,3237.89,3084.64,3262.78,3053.4,505210
611,1/12/2022,3370.89,3238.22,3406.79,3208,530960
610,1/13/2022,3238.03,3370.87,3407.98,3234.97,462810
609,1/14/2022,3307.9,3241.95,3341.24,3195.65,415180
608,1/15/2022,3327.74,3307.84,3369.95,3265.41,292100
607,1/16/2022,3346.59,3326.5,3388.22,3276.44,295680
606,1/17/2022,3209.35,3346.63,3356.45,3142.4,375280
605,1/18/2022,3160.15,3209.43,3242.47,3084.48,399190
604,1/19/2022,3083.65,3160.15,3173.63,3049.3,459810
603,1/20/2022,3004.72,3084.48,3270.71,2989.19,481080
602,1/21/2022,2571.29,3000.21,3032.69,2471.8,1420
601,1/22/2022,2412.52,2570.67,2621.21,2311.8,1480
600,1/23/2022,2540.81,2412.52,2547.19,2373.85,766830
599,1/24/2022,2441.01,2540.81,2540.81,2161.55,1560
598,1/25/2022,2458.07,2441.01,2504.32,2352.36,656030
597,1/26/2022,2461.41,2458.07,2719.32,2405.66,1050
596,1/27/2022,2424.66,2462.25,2515.19,2317.3,774540
595,1/28/2022,2545.95,2424.66,2556.34,2362.53,634500
594,1/29/2022,2600.02,2545.95,2632.51,2520.14,484180
593,1/30/2022,2602.77,2600.12,2636.04,2543.99,381840
592,1/31/2022,2686.82,2602.71,2704.64,2478.85,601730
591,2/1/2022,2787.16,2686.82,2808.6,2676.32,521740
590,2/2/2022,2681,2787.16,2809.57,2618.07,602400
589,2/3/2022,2692.8,2680.66,2723.97,2579.8,549270
588,2/4/2022,2994.99,2692.8,2994.99,2671.72,908750
587,2/5/2022,3013.81,2994.74,3058.88,2963.11,473620
586,2/6/2022,3056.2,3013.75,3073.23,2957.16,316580
585,2/7/2022,3140.18,3056.29,3185.77,2995.59,568420
584,2/8/2022,3115.88,3139.65,3228.86,3029.7,664450
583,2/9/2022,3243.62,3115.91,3266.41,3055.95,477820
582,2/10/2022,3071.83,3243.73,3277.36,3058.59,742540
581,2/11/2022,2927.63,3071.8,3136.33,2880.6,607930
580,2/12/2022,2917.1,2927.64,2984.72,2858.85,433290
579,2/13/2022,2870.25,2917.16,2952.94,2838.29,303120
578,2/14/2022,2929.31,2871.06,2963.7,2834.13,477240
577,2/15/2022,3182.27,2929.29,3193.18,2912.61,540040
576,2/16/2022,3118.9,3182.32,3184.88,3045.92,416700
575,2/17/2022,2894.03,3122.33,3159.83,2855.66,661980
574,2/18/2022,2779.56,2893.78,2943.14,2754.15,623190
573,2/19/2022,2763.81,2779.44,2829.2,2699.7,377080
572,2/20/2022,2619.32,2763.97,2764.46,2577.52,508490
571,2/21/2022,2569.87,2619.32,2755.58,2560.24,996710
570,2/22/2022,2636.13,2569.19,2663.01,2501.4,841130
569,2/23/2022,2578.15,2637.38,2749.8,2578.15,636500
568,2/24/2022,2596.52,2578.54,2732.02,2303.07,1850
567,2/25/2022,2767.53,2596.52,2830.31,2573.39,828870
566,2/26/2022,2776.96,2767.58,2856.01,2734.56,520440
565,2/27/2022,2616.34,2779.55,2834.61,2562.94,804740
564,2/28/2022,2922.5,2616.34,2949.44,2574.12,899190
563,3/1/2022,2975.81,2922.44,3036.59,2858.54,828620
562,3/2/2022,2947.14,2975.8,3041.84,2914.7,740370
561,3/3/2022,2834.91,2947.03,2967.9,2789.87,521360
560,3/4/2022,2622.15,2834.78,2835.94,2575.63,1500
559,3/5/2022,2665.42,2622.15,2684.5,2592.07,709870
558,3/6/2022,2549.4,2665.42,2673.19,2542.19,881090
557,3/7/2022,2492.53,2549.4,2645.41,2447.74,1580
556,3/8/2022,2577.21,2492.53,2623.99,2483.29,1440
555,3/9/2022,2726.94,2577.21,2772.09,2569.13,1520
554,3/10/2022,2606.5,2726.94,2731.37,2559.9,1460
553,3/11/2022,2556.96,2606.5,2670.05,2525.2,1280
552,3/12/2022,2569.8,2556.96,2612.33,2555.85,567250
551,3/13/2022,2516.75,2569.8,2600.65,2494.59,811550
550,3/14/2022,2589.3,2516.75,2608.68,2500.12,991820
549,3/15/2022,2617.43,2589.54,2667.61,2510.75,1190
548,3/16/2022,2773.94,2617.43,2787.12,2603.8,1790
